model,state,action,rep
TD3,1.3469387590885162,0,6
TD3,1.4081632196903229,0,6
TD3,1.4693877696990967,0,6
TD3,1.5306122303009033,0,6
TD3,1.59183669090271,0,6
TD3,1.6530611515045166,0,6
TD3,1.7142856121063232,0,6
TD3,1.7755102515220642,0,6
TD3,1.8367347121238708,0,6
TD3,1.8979591727256775,0,6
TD3,1.9591836333274841,0,6
TD3,2.0204080939292908,0,6
TD3,2.0816325545310974,0,6
TD3,2.142857015132904,0,6
TD3,2.204081654548645,0,6
TD3,2.2653061151504517,0,6
TD3,2.3265305757522583,0,6
TD3,2.387755036354065,0,6
TD3,2.4489794969558716,0,6
TD3,2.5102039575576782,0,6
TD3,2.571428596973419,0,6
TD3,2.632653057575226,0,6
TD3,2.6938775181770325,0,6
TD3,2.755101978778839,0,6
TD3,2.8163264393806458,0,6
TD3,2.8775508999824524,0,6
TD3,2.9387755393981934,0,6
TD3,3,0,6
TD3,0,0.0125502347946167,7
TD3,0.06122446060180664,0.02255585789680481,7
TD3,0.12244901061058044,0.06071045994758606,7
TD3,0.18367347121238708,0.2679052948951721,7
TD3,0.24489793181419373,0.9859365820884705,7
TD3,0.30612248182296753,1.0048946142196655,7
TD3,0.36734694242477417,1.0240334272384644,7
TD3,0.4285714030265808,1.055929273366928,7
TD3,0.48979586362838745,1.0976862609386444,7
TD3,0.5510204136371613,1.1401299834251404,7
TD3,0.6122448742389679,0.7522457242012024,7
TD3,0.6734694242477417,0.3420599699020386,7
TD3,0.7346938848495483,0.2727591097354889,7
TD3,0.795918345451355,0.1289888620376587,7
TD3,0.8571428060531616,0.17858317494392395,7
TD3,0.9183673560619354,0.2065102458000183,7
TD3,0.9795918166637421,0.21572613716125488,7
TD3,1.0408162772655487,0.22532084584236145,7
TD3,1.1020408272743225,0.21024048328399658,7
TD3,1.1632652878761292,0.0015319883823394775,7
TD3,1.2244897484779358,1.7881393432617188e-07,7
TD3,1.2857142984867096,0,7
TD3,1.3469387590885162,0,7
TD3,1.4081632196903229,0,7
TD3,1.4693877696990967,0,7
TD3,1.5306122303009033,0,7
TD3,1.59183669090271,0,7
TD3,1.6530611515045166,0,7
TD3,1.7142856121063232,0,7
TD3,1.7755102515220642,0,7
TD3,1.8367347121238708,0,7
TD3,1.8979591727256775,0,7
TD3,1.9591836333274841,0,7
TD3,2.0204080939292908,0,7
TD3,2.0816325545310974,0,7
TD3,2.142857015132904,0,7
TD3,2.204081654548645,0,7
TD3,2.2653061151504517,0,7
TD3,2.3265305757522583,0,7
TD3,2.387755036354065,0,7
TD3,2.4489794969558716,0,7
TD3,2.5102039575576782,0,7
TD3,2.571428596973419,0,7
TD3,2.632653057575226,0,7
TD3,2.6938775181770325,0,7
TD3,2.755101978778839,0,7
TD3,2.8163264393806458,0,7
TD3,2.8775508999824524,0,7
TD3,2.9387755393981934,0,7
TD3,3,0,7
TD3,0,0.0125502347946167,8
TD3,0.06122446060180664,0.02255585789680481,8
TD3,0.12244901061058044,0.06071045994758606,8
TD3,0.18367347121238708,0.2679052948951721,8
TD3,0.24489793181419373,0.9859365820884705,8
TD3,0.30612248182296753,1.0048946142196655,8
TD3,0.36734694242477417,1.0240334272384644,8
TD3,0.4285714030265808,1.055929273366928,8
TD3,0.48979586362838745,1.0976862609386444,8
TD3,0.5510204136371613,1.1401299834251404,8
TD3,0.6122448742389679,0.7522457242012024,8
TD3,0.6734694242477417,0.3420599699020386,8
TD3,0.7346938848495483,0.2727591097354889,8
TD3,0.795918345451355,0.1289888620376587,8
TD3,0.8571428060531616,0.17858317494392395,8
TD3,0.9183673560619354,0.2065102458000183,8
TD3,0.9795918166637421,0.21572613716125488,8
TD3,1.0408162772655487,0.22532084584236145,8
TD3,1.1020408272743225,0.21024048328399658,8
TD3,1.1632652878761292,0.0015319883823394775,8
TD3,1.2244897484779358,1.7881393432617188e-07,8
TD3,1.2857142984867096,0,8
TD3,1.3469387590885162,0,8
TD3,1.4081632196903229,0,8
TD3,1.4693877696990967,0,8
TD3,1.5306122303009033,0,8
TD3,1.59183669090271,0,8
TD3,1.6530611515045166,0,8
TD3,1.7142856121063232,0,8
TD3,1.7755102515220642,0,8
TD3,1.8367347121238708,0,8
TD3,1.8979591727256775,0,8
TD3,1.9591836333274841,0,8
TD3,2.0204080939292908,0,8
TD3,2.0816325545310974,0,8
TD3,2.142857015132904,0,8
TD3,2.204081654548645,0,8
TD3,2.2653061151504517,0,8
TD3,2.3265305757522583,0,8
TD3,2.387755036354065,0,8
TD3,2.4489794969558716,0,8
TD3,2.5102039575576782,0,8
TD3,2.571428596973419,0,8
TD3,2.632653057575226,0,8
TD3,2.6938775181770325,0,8
TD3,2.755101978778839,0,8
TD3,2.8163264393806458,0,8
TD3,2.8775508999824524,0,8
TD3,2.9387755393981934,0,8
TD3,3,0,8
TD3,0,0.0125502347946167,9
TD3,0.06122446060180664,0.02255585789680481,9
TD3,0.12244901061058044,0.06071045994758606,9
TD3,0.18367347121238708,0.2679052948951721,9
TD3,0.24489793181419373,0.9859365820884705,9
TD3,0.30612248182296753,1.0048946142196655,9
TD3,0.36734694242477417,1.0240334272384644,9
TD3,0.4285714030265808,1.055929273366928,9
TD3,0.48979586362838745,1.0976862609386444,9
TD3,0.5510204136371613,1.1401299834251404,9
TD3,0.6122448742389679,0.7522457242012024,9
TD3,0.6734694242477417,0.3420599699020386,9
TD3,0.7346938848495483,0.2727591097354889,9
TD3,0.795918345451355,0.1289888620376587,9
TD3,0.8571428060531616,0.17858317494392395,9
TD3,0.9183673560619354,0.2065102458000183,9
TD3,0.9795918166637421,0.21572613716125488,9
TD3,1.0408162772655487,0.22532084584236145,9
TD3,1.1020408272743225,0.21024048328399658,9
TD3,1.1632652878761292,0.0015319883823394775,9
TD3,1.2244897484779358,1.7881393432617188e-07,9
TD3,1.2857142984867096,0,9
TD3,1.3469387590885162,0,9
TD3,1.4081632196903229,0,9
TD3,1.4693877696990967,0,9
TD3,1.5306122303009033,0,9
TD3,1.59183669090271,0,9
TD3,1.6530611515045166,0,9
TD3,1.7142856121063232,0,9
TD3,1.7755102515220642,0,9
TD3,1.8367347121238708,0,9
TD3,1.8979591727256775,0,9
TD3,1.9591836333274841,0,9
TD3,2.0204080939292908,0,9
TD3,2.0816325545310974,0,9
TD3,2.142857015132904,0,9
TD3,2.204081654548645,0,9
TD3,2.2653061151504517,0,9
TD3,2.3265305757522583,0,9
TD3,2.387755036354065,0,9
TD3,2.4489794969558716,0,9
TD3,2.5102039575576782,0,9
